ma_xa,ten_xa,cum_han_du_bao,so_mau_train,so_mau_test,mae_truoc,mae_sau,bias_truoc,bias_sau
1,"Xã Tuyên Phú",D+1-3,1845,792,5.03,6.83,0.03,3.31
1,"Xã Tuyên Phú",D+4-7,2446,1056,5.9,7.96,-0.65,3.72
2,"Xã Hòa Trạch",D+1-3,1845,792,6.45,10.11,0.62,5.12
2,"Xã Hòa Trạch",D+4-7,2446,1056,7.24,10.81,0.71,4.93
3,"Xã Ninh Châu",D+1-3,1845,792,6.51,7.15,1.67,2.24
3,"Xã Ninh Châu",D+4-7,2446,1056,6.87,7.48,1.34,1.9
4,"Xã Tuyên Sơn",D+1-3,1845,792,6.05,8.77,0.85,5.06
4,"Xã Tuyên Sơn",D+4-7,2446,1056,6.22,9.96,-0.04,5.82
5,"Xã Tuyên Lâm",D+1-3,1845,792,5.48,7.46,0.91,4.35
5,"Xã Tuyên Lâm",D+4-7,2446,1056,5.67,8.31,0.18,5.01
6,"Xã Tân Thành",D+1-3,1845,792,5.6,8.35,1.58,5.67
6,"Xã Tân Thành",D+4-7,2446,1056,5.91,9.05,0.83,6.41
7,"Xã Đồng Lê",D+1-3,1845,792,5.79,9.2,0.2,5.52
7,"Xã Đồng Lê",D+4-7,2446,1056,5.95,11.31,-0.71,7.56
8,"Xã Nam Hóa",D+1-3,1845,792,5.23,7.11,-0.12,3.64
8,"Xã Nam Hóa",D+4-7,2446,1056,5.73,8.02,-1.04,4.05
9,"Xã Kim Điền",D+1-3,1845,792,5.5,8.3,0.95,5.8
9,"Xã Kim Điền",D+4-7,2446,1056,6.3,8.64,0.51,5.66
10,"Xã Minh Hóa",D+1-3,1845,792,4.68,7.61,0,5.6
10,"Xã Minh Hóa",D+4-7,2446,1056,5.23,9.87,-0.91,7.67
11,"Xã Kim Phú",D+1-3,1845,792,5.58,7.1,1.86,4.6
11,"Xã Kim Phú",D+4-7,2446,1056,6.18,7.31,1.16,3.36
12,"Xã Tuyên Hóa",D+1-3,1845,792,5.16,6.88,-0.15,3.15
12,"Xã Tuyên Hóa",D+4-7,2446,1056,5.61,7.17,-0.8,2.72
13,"Xã Phú Trạch",D+1-3,1845,792,7.01,10.5,-0.18,5.28
13,"Xã Phú Trạch",D+4-7,2446,1056,8.49,11.04,-0.03,3.81
14,"Xã Trung Thuần",D+1-3,1845,792,6.1,7.26,-0.41,0.89
