ma_xa,ten_xa,cum_han_du_bao,mua,so_mau_train,so_mau_test,nguong_kho_uot,mae_truoc,mae_sau,bias_truoc,bias_sau
1,"Xã Tuyên Phú",D+1-3,"Mùa mưa (T9-T12)",255,111,0.9,1.98,2.76,1.25,1.74
1,"Xã Tuyên Phú",D+1-3,"Mùa khô (T1-T8)",1008,435,0.1,5.36,7.33,-1.02,1.96
1,"Xã Tuyên Phú",D+4-7,"Mùa mưa (T9-T12)",340,148,1.1,3.46,6.58,2.97,5.85
1,"Xã Tuyên Phú",D+4-7,"Mùa khô (T1-T8)",1344,580,0.1,5.4,7.21,-1.86,0.7
2,"Xã Hòa Trạch",D+1-3,"Mùa mưa (T9-T12)",255,111,2,2.56,2.98,0.07,-0.43
2,"Xã Hòa Trạch",D+1-3,"Mùa khô (T1-T8)",1008,435,0.7,3.77,6.38,1.55,4.1
2,"Xã Hòa Trạch",D+4-7,"Mùa mưa (T9-T12)",340,148,1.6,4.68,9.04,2.65,6.34
2,"Xã Hòa Trạch",D+4-7,"Mùa khô (T1-T8)",1344,580,0.7,3.13,4.75,0.39,1.96
3,"Xã Ninh Châu",D+1-3,"Mùa mưa (T9-T12)",255,111,2.6,4.38,6.68,2.71,5.03
3,"Xã Ninh Châu",D+1-3,"Mùa khô (T1-T8)",1008,435,0.5,4.12,5.85,2.31,3.66
3,"Xã Ninh Châu",D+4-7,"Mùa mưa (T9-T12)",340,148,1.9,7.42,10.39,4.88,7.9
3,"Xã Ninh Châu",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,3.28,6,1.38,3.77
4,"Xã Tuyên Sơn",D+1-3,"Mùa mưa (T9-T12)",255,111,1.5,2.91,4.29,1.91,2.8
4,"Xã Tuyên Sơn",D+1-3,"Mùa khô (T1-T8)",1008,435,0.4,5.27,7.17,-0.05,1.17
4,"Xã Tuyên Sơn",D+4-7,"Mùa mưa (T9-T12)",340,148,1.2,3.12,5.55,2.65,4.87
4,"Xã Tuyên Sơn",D+4-7,"Mùa khô (T1-T8)",1344,580,0.5,4.96,5.97,-1.33,-0.56
5,"Xã Tuyên Lâm",D+1-3,"Mùa mưa (T9-T12)",255,111,1.2,3.39,5.9,2.27,4.24
5,"Xã Tuyên Lâm",D+1-3,"Mùa khô (T1-T8)",1008,435,0.3,5.99,8.23,1.41,3.38
5,"Xã Tuyên Lâm",D+4-7,"Mùa mưa (T9-T12)",340,148,1.3,3.74,8.98,2.99,8.03
5,"Xã Tuyên Lâm",D+4-7,"Mùa khô (T1-T8)",1344,580,0.3,5.19,6.95,-0.04,1.52
6,"Xã Tân Thành",D+1-3,"Mùa mưa (T9-T12)",255,111,1,4.01,7.86,2.95,6.41
6,"Xã Tân Thành",D+1-3,"Mùa khô (T1-T8)",1008,435,0.3,6.46,9.47,1.08,3.82
6,"Xã Tân Thành",D+4-7,"Mùa mưa (T9-T12)",340,148,1.1,4.22,10.43,3.49,9.56
6,"Xã Tân Thành",D+4-7,"Mùa khô (T1-T8)",1344,580,0.3,5.73,11.05,-0.29,4.96
7,"Xã Đồng Lê",D+1-3,"Mùa mưa (T9-T12)",255,111,0.9,1.95,3.42,0.81,1.66
7,"Xã Đồng Lê",D+1-3,"Mùa khô (T1-T8)",1008,435,0.2,5.53,8.21,-0.13,2.98
7,"Xã Đồng Lê",D+4-7,"Mùa mưa (T9-T12)",340,148,1.1,2.29,5.35,1.54,4.55
7,"Xã Đồng Lê",D+4-7,"Mùa khô (T1-T8)",1344,580,0.1,5.21,8.55,-1.2,2.98
8,"Xã Nam Hóa",D+1-3,"Mùa mưa (T9-T12)",255,111,0.9,2.11,4,1.29,3
8,"Xã Nam Hóa",D+1-3,"Mùa khô (T1-T8)",1008,435,0.1,5.76,8.29,-0.43,2.99
8,"Xã Nam Hóa",D+4-7,"Mùa mưa (T9-T12)",340,148,1,3.04,8.23,2.51,7.56
8,"Xã Nam Hóa",D+4-7,"Mùa khô (T1-T8)",1344,580,0,5.46,9.07,-1.49,3.16
9,"Xã Kim Điền",D+1-3,"Mùa mưa (T9-T12)",255,111,1.2,4.51,10.24,3.53,8.99
9,"Xã Kim Điền",D+1-3,"Mùa khô (T1-T8)",1008,435,0.4,5.71,7.43,0.04,2.22
9,"Xã Kim Điền",D+4-7,"Mùa mưa (T9-T12)",340,148,1,4.51,11.01,3.85,10.35
9,"Xã Kim Điền",D+4-7,"Mùa khô (T1-T8)",1344,580,0.4,5.98,8.65,-0.33,2.48
10,"Xã Minh Hóa",D+1-3,"Mùa mưa (T9-T12)",255,111,0.9,1.95,3.42,0.81,1.66
10,"Xã Minh Hóa",D+1-3,"Mùa khô (T1-T8)",1008,435,0.2,5.53,8.22,-0.14,2.97
10,"Xã Minh Hóa",D+4-7,"Mùa mưa (T9-T12)",340,148,1,2.29,5.49,1.54,4.69
10,"Xã Minh Hóa",D+4-7,"Mùa khô (T1-T8)",1344,580,0.1,5.21,8.8,-1.21,3.27
11,"Xã Kim Phú",D+1-3,"Mùa mưa (T9-T12)",255,111,1.9,4.24,6.53,3.41,5.23
11,"Xã Kim Phú",D+1-3,"Mùa khô (T1-T8)",1008,435,0.9,6.16,5.36,0.45,-1.75
11,"Xã Kim Phú",D+4-7,"Mùa mưa (T9-T12)",340,148,1.6,4.64,9.29,4.25,8.62
11,"Xã Kim Phú",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,6.47,6.92,0.15,-0.18
12,"Xã Tuyên Hóa",D+1-3,"Mùa mưa (T9-T12)",255,111,1.2,1.91,3.2,1,1.63
12,"Xã Tuyên Hóa",D+1-3,"Mùa khô (T1-T8)",1008,435,0.2,4.56,6.85,-0.11,2.44
12,"Xã Tuyên Hóa",D+4-7,"Mùa mưa (T9-T12)",340,148,1.2,3.09,6.72,2.34,5.83
12,"Xã Tuyên Hóa",D+4-7,"Mùa khô (T1-T8)",1344,580,0.2,4.29,6.64,-0.84,1.97
13,"Xã Phú Trạch",D+1-3,"Mùa mưa (T9-T12)",255,111,2,3.54,3.19,2,0.86
13,"Xã Phú Trạch",D+1-3,"Mùa khô (T1-T8)",1008,435,0.7,4.8,6.3,-0.18,1.72
13,"Xã Phú Trạch",D+4-7,"Mùa mưa (T9-T12)",340,148,1.9,6.49,10,5.25,8.15
13,"Xã Phú Trạch",D+4-7,"Mùa khô (T1-T8)",1344,580,0.8,4.67,5.75,-1.08,-0.08
14,"Xã Trung Thuần",D+1-3,"Mùa mưa (T9-T12)",255,111,1.8,2.16,2.55,-0.44,-0.55
14,"Xã Trung Thuần",D+1-3,"Mùa khô (T1-T8)",1008,435,0.6,4.02,6.98,1.38,4.36
